Asset Id,Asset Unique Id,Parent Asset Id,Date Created,External Asset Ref,External Asset Created On,External Asset Updated On,Client Asset Id,Client Date Created,Client Last Modified,Asset Type,Category Name,Asset Status,Compliance Status,Site Name,Sub Block Name,Zone Name,Location Name,
10669,BOSTOCK - CW01,,2022-02-14 18:31:52,,,,,,,Cold Water Outlet,Water,Un-assigned,,Bostock,,Ground Floor,Bathroom,
10670,BOSTOCK - WD,,2022-02-14 18:33:51,,,,,,,Water Outlet,Water,Assigned,,Bostock,,Ground Floor,Bathroom,
10671,BOSTOCK - TMV01,,2022-02-14 18:35:27,,,,,,,TMV (Thermostatic Mixing Valve),Water,Assigned,,Bostock,,Ground Floor,Bathroom,
10684,OAKVIEW - FA1,,2022-02-16 15:48:04,,,,,,,Fire Alarm,Fire,Un-assigned,,Oakview,,Ground Floor,Hallway,
10685,OAKVIEW - FA2,,2022-02-16 15:49:59,,,,,,,Fire Alarm,Fire,Un-assigned,,Oakview,,1st Floor,Landing,
10686,OAKVIEW - FE1,,2022-02-16 15:53:36,,,,,,,Fire Doors,Fire,Un-assigned,,Oakview,,1st Floor,Bedroom 2,
10687,OAKVIEW - FE2,,2022-02-16 17:54:13,,,,,,,Fire Doors,Fire,Un-assigned,,Oakview,,1st Floor,Bedroom 2,
10688,OAKVIEW - FE3,,2022-02-16 17:55:26,,,,,,,Fire Doors,Fire,Un-assigned,,Oakview,,Ground Floor,Kitchen,
10689,OAKVIEW - FE4,,2022-02-16 17:57:10,,,,,,,Fire Doors,Fire,Un-assigned,,Oakview,,Ground Floor,Hallway,
10690,OAKVIEW - FLR01,,2022-02-16 18:08:00,,,,,,,Record of Lint Removal,Fire,Un-assigned,,Oakview,,Ground Floor,Kitchen,
10691,OAKVIEW - EF01,,2022-02-16 18:20:14,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Oakview,,Ground Floor,Kitchen,
10692,OAKVIEW - Co201,,2022-02-16 18:22:02,,,,,,,C0 Monitor,Maintenance,Assigned,,Oakview,,1st Floor,Bedroom 2,
10693,OAKVIEW - Co202,,2022-02-16 18:24:43,,,,,,,C0 Monitor,Maintenance,Assigned,,Oakview,,1st Floor,Bedroom 2,
10694,OAKVIEW - Co2B01,,2022-02-16 18:26:46,,,,,,,C0 Monitor,Maintenance,Assigned,,Oakview,,Ground Floor,Bedroom 1,
10695,OAKVIEW - Co2B02,,2022-02-16 18:28:26,,,,,,,C0 Monitor,Maintenance,Assigned,,Oakview,,Ground Floor,Bedroom 1,
10703,OAKVIEW - HWD01,,2022-02-17 10:05:15,,,,,,,Hot Water Distribution,Water,Un-assigned,,Oakview,,Ground Floor,Kitchen,
10704,OAKVIEW - HWD02,,2022-02-17 10:11:34,,,,,,,Hot Water Distribution,Water,Assigned,,Oakview,,Ground Floor,Wetroom 1,
10705,OAKVIEW - HWD03,,2022-02-17 10:13:01,,,,,,,Hot Water Distribution,Water,Assigned,,Oakview,,1st Floor,Bedroom 2 - Ensuite Bathroom,
10706,OAKVIEW - CW01,,2022-02-17 10:17:18,,,,,,,Cold Water Outlet,Water,Un-assigned,,Oakview,,Ground Floor,Kitchen,
10707,OAKVIEW - CW02,,2022-02-17 10:18:19,,,,,,,Cold Water Outlet,Water,Un-assigned,,Oakview,,Ground Floor,Wetroom 1,
10708,OAKVIEW - CW03,,2022-02-17 10:19:29,,,,,,,Cold Water Outlet,Water,Un-assigned,,Oakview,,1st Floor,Bedroom 2 - Ensuite Bathroom,
10709,OAKVIEW - BW01,,2022-02-17 10:20:53,,,,,,,Shower and Tap Outlets,Water,Un-assigned,,Oakview,,Ground Floor,Wetroom 1,
10710,OAKVIEW - BW02,,2022-02-17 10:22:05,,,,,,,Shower and Tap Outlets,Water,Un-assigned,,Oakview,,1st Floor,Bedroom 2 - Ensuite Bathroom,
10711,OAKVIEW - WD02,,2022-02-17 10:24:28,,,,,,,Water Outlet,Water,Assigned,,Oakview,,Ground Floor,Wetroom 1,
10712,OAKVIEW - WD01,,2022-02-17 10:25:39,,,,,,,Water Outlet,Water,Assigned,,Oakview,,Ground Floor,Kitchen,
10713,OAKVIEW - WD03,,2022-02-17 10:27:26,,,,,,,Water Outlet,Water,Un-assigned,,Oakview,,1st Floor,Bedroom 2,
10714,OAKVIEW - TMV01,,2022-02-17 10:33:47,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Oakview,,Ground Floor,Wetroom 1,
10715,OAKVIEW - TMV02,,2022-02-17 10:34:49,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Oakview,,1st Floor,Bedroom 2 - Ensuite Bathroom,
10716,BOSTOCK - EML,,2022-02-17 10:43:30,,,,,,,Emergency Lights,Fire,Un-assigned,,Bostock,,Ground Floor,Hallway,
10717,HOLLY - FA1,,2022-02-17 10:53:23,,,,,,,Fire Alarm,Fire,Un-assigned,,Holly House,,Ground Floor,Kitchen,
10718,HOLLY - FA2,,2022-02-17 10:54:42,,,,,,,Fire Alarm,Fire,Un-assigned,,Holly House,,Ground Floor,Hallway,
10719,HOLLY - FA3,,2022-02-17 10:55:58,,,,,,,Fire Alarm,Fire,Un-assigned,,Holly House,,1st Floor,Office 2,
10748,HOLLY - FX01,,2022-02-18 15:13:46,,,,,,,Fire Doors,Fire,Assigned,,Holly House,,Basement,Stores Area,
10749,HOLLY - FX02,,2022-02-18 15:15:12,,,,,,,Fire Doors,Fire,Assigned,,Holly House,,Ground Floor,Kitchen,
10750,HOLLY - FX03,,2022-02-18 15:19:37,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,Ground Floor,Hallway,
10751,HOLLY - FEX01,,2022-02-18 15:21:48,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Holly House,,Basement,Stores Area,
10752,HOLLY - FEX02,,2022-02-18 15:23:01,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Holly House,,Ground Floor,Kitchen,
10753,HOLLY - FEX03,,2022-02-18 15:24:31,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Holly House,,Ground Floor,Hallway,
10754,HOLLY - FD01,,2022-02-18 15:25:48,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,1st Floor,Bedroom 1,
10755,HOLLY - FD02,,2022-02-18 15:26:47,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,1st Floor,Bedroom 2,
10756,HOLLY - FD03,,2022-02-18 15:27:45,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,1st Floor,Bedroom 3,
10757,HOLLY - FD04,,2022-02-18 15:28:37,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,1st Floor,Bedroom 4,
10758,HOLLY - FD05,,2022-02-18 15:29:36,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,1st Floor,Bedroom 5,
10759,HOLLY - FD06,,2022-02-18 15:30:38,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,Basement,Stores Area,
10760,HOLLY - FD07,,2022-02-18 15:31:46,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,Ground Floor,Lounge 1,
10761,HOLLY - FD08,,2022-02-18 15:32:53,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,Ground Floor,Lounge 2,
10762,HOLLY - FD09,,2022-02-18 15:34:01,,,,,,,Fire Doors,Fire,Un-assigned,,Holly House,,Ground Floor,Dining Room,
