Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
10617,TC-FD03,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Office,
10617,TC-FD03,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Office,
10618,TC-FD04,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Utility,
10618,TC-FD04,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Utility,
10619,TC-FD05,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Bedroom 1,
10619,TC-FD05,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Bedroom 1,
10620,TC-FD06,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Bedroom 2,
10620,TC-FD06,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Bedroom 2,
10621,TC-FD07,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Bedroom 3,
10621,TC-FD07,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Bedroom 3,
10622,TC-FD08,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10622,TC-FD08,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10623,TC-CP01,,Call Point,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Porch,
10623,TC-CP01,,Call Point,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Porch,
10624,TC-CP02,,Call Point,Compliant with recommendations,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10624,TC-CP02,,Call Point,Compliant with recommendations,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10625,TC-CP03,,Call Point,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Office,
10625,TC-CP03,,Call Point,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Office,
